"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 26-Aug-2024"
"NIFTY 500","22,994.85","23,013.05","22,746.75","23,052.00","22,768.65","-","-283.35","-1.23","4,44,79,16,261","1,24,366.05","24,573.40","19,519.85","-1.07","-3.37"
"RTNINDIA","52.97","60.00","52.35","52.82","58.25","-","5.43","10.28","10,08,53,395","575.37","84.70","37.42","2.18","-29.61"
"WAAREEENER","3,149.00","3,329.80","3,115.00","3,151.10","3,321.10","-","170.00","5.39","1,44,56,797","4,695.11","3,743.00","1,863.00","2.10","-"
"OLAELEC","48.54","51.80","47.81","48.57","50.73","-","2.16","4.45","47,11,61,271","2,379.84","132.70","39.60","23.26","-59.44"
"CRAFTSMAN","6,839.00","7,254.50","6,755.00","6,839.00","7,110.00","-","271.00","3.96","1,93,047","137.47","7,254.50","3,700.00","14.04","14.28"
"AIIL","3,023.10","3,190.00","3,013.50","3,042.10","3,157.00","-","114.90","3.78","6,72,707","209.25","3,190.00","1,325.50","14.04","76.35"
"BRITANNIA","5,574.50","5,794.50","5,574.50","5,550.50","5,751.00","-","200.50","3.61","13,07,463","749.54","6,469.90","4,506.00","3.07","-0.54"
"IPCALAB","1,390.00","1,462.60","1,368.60","1,399.90","1,448.00","-","48.10","3.44","2,76,774","39.17","1,755.90","1,168.20","-4.94","2.99"
"AFCONS","430.20","446.30","422.55","431.05","443.00","-","11.95","2.77","43,11,237","186.72","570.00","390.00","4.76","-"
"EICHERMOT","5,980.00","6,210.00","5,960.00","5,990.50","6,151.00","-","160.50","2.68","14,74,805","903.00","6,210.00","4,508.75","13.22","26.17"
"DEVYANI","169.00","175.50","167.98","169.27","173.69","-","4.42","2.61","82,92,401","143.15","222.74","134.00","1.36","-3.00"
"ECLERX","4,248.80","4,640.00","4,186.00","4,238.80","4,344.00","-","105.20","2.48","7,17,756","313.23","4,640.00","2,168.00","22.16","61.60"
"HINDUNILVR","2,624.60","2,705.00","2,624.60","2,631.60","2,692.70","-","61.10","2.32","43,48,648","1,167.43","3,035.00","2,136.00","11.48","-4.56"
"GODIGIT","370.20","378.00","355.05","370.45","377.95","-","7.50","2.02","24,23,996","89.11","407.40","264.60","6.40","0.42"
"WOCKPHARMA","1,445.00","1,481.00","1,417.00","1,448.90","1,477.00","-","28.10","1.94","3,48,856","50.63","1,868.80","915.00","-12.36","-"
"MARUTI","14,452.00","14,825.00","14,391.00","14,452.00","14,720.00","-","268.00","1.85","9,62,974","1,412.63","14,825.00","10,725.00","18.62","20.18"
"LTFOODS","425.00","443.15","424.70","428.25","436.00","-","7.75","1.81","20,14,409","87.90","518.55","288.25","-10.38","17.87"
"VMM","149.60","157.60","146.51","148.89","151.20","-","2.31","1.55","31,82,91,485","4,861.58","157.60","95.99","9.44","-"
"GRANULES","459.00","475.70","456.30","460.70","467.55","-","6.85","1.49","57,66,181","271.07","721.00","422.00","0.09","-31.28"
"LINDEINDIA","6,265.00","6,589.00","6,211.50","6,295.00","6,387.00","-","92.00","1.46","1,20,576","78.28","8,780.00","5,242.40","-0.71","-12.00"
"NLCINDIA","231.99","239.09","228.73","232.53","235.61","-","3.08","1.32","7,75,689","18.14","296.80","186.03","-1.33","-13.62"
"JUBLINGREA","722.90","734.95","712.85","722.90","730.80","-","7.90","1.09","3,30,866","24.08","885.00","535.20","-6.60","9.88"
"LTF","217.25","220.80","215.75","217.69","220.00","-","2.31","1.06","1,54,35,312","339.24","225.48","129.20","7.36","30.16"
"ITC","399.30","405.40","398.40","399.35","403.35","-","4.00","1.00","1,37,15,752","551.77","528.50","390.15","-1.48","-20.24"
"PVRINOX","1,106.00","1,147.70","1,100.00","1,108.90","1,120.00","-","11.10","1.00","8,39,358","95.11","1,748.00","830.00","13.91","-24.65"
"THERMAX","3,240.00","3,350.00","3,219.60","3,271.50","3,299.00","-","27.50","0.84","51,69,539","1,685.93","5,719.00","2,950.05","-12.85","-26.53"
"BOSCHLTD","39,200.00","39,655.00","38,800.00","39,085.00","39,410.00","-","325.00","0.83","32,640","128.55","41,290.00","25,921.60","4.44","20.40"
"NTPCGREEN","102.00","103.00","100.77","101.76","102.60","-","0.84","0.83","49,01,617","50.05","155.35","84.55","-2.96","-"
"DEEPAKNTR","1,824.20","1,866.00","1,806.80","1,830.20","1,845.00","-","14.80","0.81","1,30,949","24.02","3,023.80","1,775.00","-3.10","-34.60"
"SKFINDIA","4,520.00","4,595.00","4,482.00","4,525.30","4,560.00","-","34.70","0.77","24,729","11.24","5,580.00","3,541.00","-7.39","-13.71"
"TITAGARH","861.05","871.75","849.00","861.05","867.50","-","6.45","0.75","14,89,952","128.72","1,509.80","654.55","-0.62","-39.17"
"HYUNDAI","2,472.40","2,505.60","2,405.00","2,472.40","2,490.00","-","17.60","0.71","14,08,919","347.13","2,624.50","1,541.70","18.73","-"
"CROMPTON","323.00","327.30","321.25","322.90","324.85","-","1.95","0.60","28,54,082","92.73","484.00","301.00","-1.22","-30.53"
"SWIGGY","427.00","439.40","419.00","425.65","428.15","-","2.50","0.59","12,63,08,057","5,429.60","617.30","297.00","5.54","-"
"DABUR","518.60","526.80","517.10","518.60","521.60","-","3.00","0.58","30,45,617","159.26","672.00","433.30","2.16","-20.19"
"NESTLEIND","1,149.00","1,179.00","1,149.00","1,153.00","1,159.20","-","6.20","0.54","36,19,892","422.39","1,389.00","1,055.00","-48.91","-53.87"
"ABBOTINDIA","31,615.00","32,050.00","31,175.00","31,520.00","31,690.00","-","170.00","0.54","10,802","34.34","37,000.00","25,325.00","-5.61","9.90"
"TCS","3,129.00","3,162.00","3,120.00","3,140.60","3,157.00","-","16.40","0.52","55,22,097","1,740.79","4,592.25","2,991.60","0.68","-29.88"
"ETERNAL","317.30","321.50","315.05","319.25","320.75","-","1.50","0.47","43,85,03,024","13,942.64","331.35","194.80","2.37","-"
"INDIAMART","2,630.10","2,670.00","2,614.60","2,637.60","2,650.00","-","12.40","0.47","92,167","24.40","3,176.00","1,900.10","3.68","-10.36"
"ABFRL","82.00","83.36","81.81","81.98","82.36","-","0.38","0.46","1,31,44,220","108.62","364.40","70.55","11.92","-74.39"
"FORTIS","915.15","920.95","905.35","915.15","919.00","-","3.85","0.42","22,79,071","208.48","971.00","534.40","8.33","68.60"
"SONACOMS","449.80","463.20","441.80","451.15","453.00","-","1.85","0.41","5,86,50,435","2,661.56","768.65","380.00","-3.35","-36.61"
"ENGINERSIN","193.66","196.79","191.26","193.68","194.46","-","0.78","0.40","32,42,091","62.96","255.45","142.20","-14.69","-8.60"
"MRPL","123.04","124.50","121.57","123.49","123.96","-","0.47","0.38","13,36,562","16.48","215.50","98.92","-11.98","-41.37"
"DALBHARAT","2,332.10","2,371.60","2,311.00","2,347.50","2,355.90","-","8.40","0.36","3,37,514","79.64","2,394.20","1,601.00","5.73","29.94"
"DELHIVERY","475.00","480.45","460.50","476.85","478.50","-","1.65","0.35","29,80,903","141.94","480.70","236.53","12.50","11.05"
"PREMIERENE","1,004.00","1,019.00","981.30","1,003.90","1,007.00","-","3.10","0.31","14,29,245","143.47","1,388.00","774.05","-7.15","-"
"POWERINDIA","19,540.00","20,190.00","19,130.00","19,450.00","19,505.00","-","55.00","0.28","18,50,704","3,654.40","21,800.00","8,801.00","2.33","64.41"
"BLS","380.25","392.85","368.60","368.80","369.80","-","1.00","0.27","1,37,88,443","522.64","521.80","308.25","2.63","-12.51"
"MEDANTA","1,395.80","1,408.40","1,376.50","1,396.30","1,400.10","-","3.80","0.27","3,16,787","44.20","1,456.50","935.50","5.81","32.28"
"SCHNEIDER","856.00","866.80","854.00","858.00","860.30","-","2.30","0.27","70,728","6.08","1,052.00","540.00","-5.83","-"
"NHPC","79.52","80.34","78.36","79.60","79.78","-","0.18","0.23","2,05,72,647","163.61","100.50","71.00","-4.36","-17.39"
"HEROMOTOCO","5,063.80","5,143.00","5,041.00","5,063.80","5,074.90","-","11.10","0.22","16,62,083","846.28","6,246.25","3,344.00","19.92","-5.06"
"SAGILITY","45.65","46.20","44.71","45.69","45.78","-","0.09","0.20","3,78,63,504","172.51","56.40","27.02","4.23","-"
"KANSAINER","235.00","236.70","233.06","234.54","234.99","-","0.45","0.19","8,82,176","20.71","320.50","218.20","-4.44","-20.68"
"COLPAL","2,280.00","2,323.40","2,276.50","2,282.80","2,287.00","-","4.20","0.18","14,29,053","328.17","3,890.00","2,151.00","3.08","-36.47"
"ERIS","1,796.80","1,818.80","1,780.50","1,796.80","1,800.10","-","3.30","0.18","1,19,285","21.51","1,910.00","1,097.20","0.22","41.35"
"SHREECEM","30,000.00","30,500.00","29,680.00","30,015.00","30,050.00","-","35.00","0.12","27,970","84.33","32,490.00","23,500.00","-2.71","20.89"
"ATGL","630.10","644.50","625.50","631.25","632.00","-","0.75","0.12","12,56,023","80.00","865.00","532.60","1.86","-25.74"
"ASHOKLEY","130.51","132.36","129.91","131.01","131.10","-","0.09","0.07","1,32,67,634","174.24","134.31","95.93","7.72","-49.50"
"INDIACEM","379.50","384.80","374.10","381.90","382.00","-","0.10","0.03","15,11,057","57.24","400.00","238.85","6.70","4.74"
"ASIANPAINT","2,481.10","2,523.30","2,468.00","2,492.90","2,493.00","-","0.10","-","71,06,393","1,764.90","3,394.90","2,124.75","6.22","-21.76"
"GODREJCP","1,261.00","1,268.10","1,249.20","1,261.70","1,261.70","-","-","-","18,76,432","236.39","1,541.85","979.50","3.41","-13.48"
"DMART","4,751.80","4,799.10","4,696.20","4,725.30","4,725.00","-","-0.30","-0.01","9,11,518","431.55","5,484.85","3,340.00","18.00","-4.90"
"ULTRACEMCO","12,581.00","12,770.00","12,480.00","12,606.00","12,604.00","-","-2.00","-0.02","2,90,322","366.85","12,930.00","10,047.85","2.94","11.23"
"POLYCAB","7,027.50","7,096.00","6,985.00","7,071.50","7,070.00","-","-1.50","-0.02","1,87,129","132.08","7,605.00","4,555.00","4.89","4.40"
"TATACONSUM","1,074.10","1,091.80","1,070.10","1,081.60","1,081.30","-","-0.30","-0.03","12,01,357","129.98","1,234.30","882.90","2.42","-11.49"
"NYKAA","229.55","234.28","227.50","229.54","229.45","-","-0.09","-0.04","2,27,92,751","527.47","234.28","154.90","9.15","5.53"
"CGCL","189.02","193.99","187.00","189.39","189.25","-","-0.14","-0.07","1,24,66,628","238.40","231.35","150.51","4.22","-11.22"
"LATENTVIEW","423.00","431.90","419.65","424.45","424.10","-","-0.35","-0.08","3,23,039","13.80","520.25","341.20","2.97","-14.51"
"ASTERDM","600.00","608.90","598.00","600.70","600.00","-","-0.70","-0.12","5,88,937","35.50","675.00","387.10","3.19","48.38"
"DCMSHRIRAM","1,241.50","1,259.00","1,225.00","1,241.50","1,240.00","-","-1.50","-0.12","59,188","7.36","1,502.30","902.60","-11.08","8.61"
"PIDILITIND","3,115.00","3,144.00","3,075.10","3,107.00","3,102.50","-","-4.50","-0.14","6,94,836","215.77","3,415.00","2,622.20","7.30","-0.27"
"UPL","725.25","729.80","712.40","722.80","721.65","-","-1.15","-0.16","32,99,511","238.50","741.00","484.90","0.12","25.22"
"LICHSGFIN","561.00","566.35","554.95","561.10","560.20","-","-0.90","-0.16","16,29,147","91.37","735.55","483.70","-7.66","-15.84"
"INOXWIND","142.00","142.50","139.85","142.65","142.34","-","-0.31","-0.22","59,82,219","84.63","259.31","129.03","-10.40","-37.13"
"RKFORGE","566.25","568.80","555.35","566.25","564.85","-","-1.40","-0.25","4,24,939","23.88","1,064.05","551.75","-9.58","-40.56"
"CHAMBLFERT","554.60","559.45","545.60","555.70","554.25","-","-1.45","-0.26","9,91,467","54.83","742.20","443.20","2.73","9.60"
"SJVN","99.00","101.45","98.37","99.37","99.10","-","-0.27","-0.27","1,19,82,324","120.18","140.00","80.54","4.24","-25.74"
"UBL","1,853.00","1,864.10","1,846.10","1,855.10","1,850.00","-","-5.10","-0.27","44,622","8.27","2,299.70","1,810.00","-8.84","-7.68"
"AKUMS","478.35","481.50","469.60","478.35","477.00","-","-1.35","-0.28","4,27,955","20.36","968.90","405.00","-10.02","-46.61"
"ALKEM","5,415.50","5,438.00","5,373.50","5,415.50","5,400.00","-","-15.50","-0.29","1,88,824","102.24","6,439.90","4,491.65","8.18","-6.82"
"SARDAEN","593.90","600.00","581.50","593.80","592.00","-","-1.80","-0.30","8,13,766","48.26","619.00","341.30","35.97","69.79"
"GLENMARK","1,956.50","1,976.00","1,935.30","1,956.10","1,950.00","-","-6.10","-0.31","11,48,175","224.29","2,284.80","1,275.50","-9.07","15.11"
"TRITURBINE","532.10","533.70","523.45","532.15","530.45","-","-1.70","-0.32","4,97,776","26.34","885.00","460.30","-13.99","-26.43"
"WESTLIFE","712.30","721.05","700.15","708.60","706.00","-","-2.60","-0.37","1,04,205","7.41","957.00","640.70","-7.76","-20.31"
"CENTURYPLY","737.35","743.95","729.10","737.35","734.60","-","-2.75","-0.37","54,302","4.01","935.00","631.00","-0.46","-6.15"
